ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Christmas,Christmas_lower,Christmas_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-30,124.32642223139065,126.12607120962774,134.94054915386928,124.32642223139065,124.32642223139065,0.0,0.0,0.0,0.0,0.0,0.0,6.2677060414512855,6.2677060414512855,6.2677060414512855,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596500131,0.2680636596500131,0.2680636596500131,-5.16760972008859,-5.16760972008859,-5.16760972008859,0.0,0.0,0.0,130.59412827284194
2017-01-31,124.43576866395156,126.35458018481951,134.97474666258438,124.43576866395156,124.43576866395156,0.0,0.0,0.0,0.0,0.0,0.0,6.204500901304254,6.204500901304254,6.204500901304254,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700190962,0.9311288700190962,0.9311288700190962,-5.893880070604705,-5.893880070604705,-5.893880070604705,0.0,0.0,0.0,130.6402695652558
2017-02-01,124.5451150965125,125.55662931704094,134.38205317787836,124.5451150965125,124.5451150965125,0.0,0.0,0.0,0.0,0.0,0.0,5.343904975943468,5.343904975943468,5.343904975943468,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226745645,0.7192093226745645,0.7192093226745645,-6.542556448620959,-6.542556448620959,-6.542556448620959,0.0,0.0,0.0,129.88902007245596
2017-02-02,124.65446152907342,124.63901186009932,133.72109174962313,124.65446152907342,124.65446152907342,0.0,0.0,0.0,0.0,0.0,0.0,4.440341577732962,4.440341577732962,4.440341577732962,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.3765934509477671,0.3765934509477671,0.3765934509477671,-7.10350397510467,-7.10350397510467,-7.10350397510467,0.0,0.0,0.0,129.09480310680638
2017-02-03,124.76380796163433,124.36061607134918,133.58383488579298,124.76380796163431,124.76380796163431,0.0,0.0,0.0,0.0,0.0,0.0,4.095719611612841,4.095719611612841,4.095719611612841,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207822998,0.4968177207822998,0.4968177207822998,-7.568350211059323,-7.568350211059323,-7.568350211059323,0.0,0.0,0.0,128.85952757324716
2017-02-06,125.09184725931712,124.16718500816647,132.38872345543027,125.09184725931712,125.09184725931712,0.0,0.0,0.0,0.0,0.0,0.0,3.102660781170505,3.102660781170505,3.102660781170505,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.268063659646567,0.268063659646567,0.268063659646567,-8.332654980365923,-8.332654980365923,-8.332654980365923,0.0,0.0,0.0,128.19450804048762
2017-02-07,125.20119369187803,124.44743190556412,133.2156637639771,125.20119369187803,125.20119369187803,0.0,0.0,0.0,0.0,0.0,0.0,3.7281122130214164,3.7281122130214164,3.7281122130214164,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700176609,0.9311288700176609,0.9311288700176609,-8.370268758886107,-8.370268758886107,-8.370268758886107,0.0,0.0,0.0,128.92930590489945
2017-02-08,125.31054012443894,124.43685500361312,132.98477464082293,125.31054012443894,125.31054012443894,0.0,0.0,0.0,0.0,0.0,0.0,3.585155904928929,3.585155904928929,3.585155904928929,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226743841,0.7192093226743841,0.7192093226743841,-8.301305519635319,-8.301305519635319,-8.301305519635319,0.0,0.0,0.0,128.89569602936788
2017-02-09,125.41988655699986,124.37425447155057,133.2593226930235,125.41988655699986,125.41988655699986,0.0,0.0,0.0,0.0,0.0,0.0,3.4136240910162186,3.4136240910162186,3.4136240910162186,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.3765934509479125,0.3765934509479125,0.3765934509479125,-8.130221461821558,-8.130221461821558,-8.130221461821558,0.0,0.0,0.0,128.83351064801607
2017-02-10,125.52821248328388,124.85611700974901,133.44265170359864,125.52821248328388,125.52821248328388,0.0,0.0,0.0,0.0,0.0,0.0,3.8005697284046023,3.8005697284046023,3.8005697284046023,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207813718,0.4968177207813718,0.4968177207813718,-7.863500094266633,-7.863500094266633,-7.863500094266633,0.0,0.0,0.0,129.3287822116885
2017-02-13,125.85319026213594,126.28887602172877,135.04483896568232,125.85319026213594,125.85319026213594,0.0,0.0,0.0,0.0,0.0,0.0,4.854411400263161,4.854411400263161,4.854411400263161,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.26806365964977774,0.26806365964977774,0.26806365964977774,-6.580904361276482,-6.580904361276482,-6.580904361276482,0.0,0.0,0.0,130.7076016623991
2017-02-14,125.96151618841996,127.40407041874992,136.2895928158727,125.96151618841996,125.96151618841996,0.0,0.0,0.0,0.0,0.0,0.0,6.068172534140041,6.068172534140041,6.068172534140041,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700185778,0.9311288700185778,0.9311288700185778,-6.030208437768401,-6.030208437768401,-6.030208437768401,0.0,0.0,0.0,132.02968872256
